ID	GeneSymbol
axo20130-f_at	SH3KBP1
axo09093-r_at	UVRAG
axo29167-f_at	
axo15013-f_at	INTS7
axo02577-r_at	OXR1
axo29759-f_at	
axo09137-f_at	ZNF268
axo00253-r_at	VIT
axo04187-r_at	FAM3C
axo19057-f_at	PLBD1
axo08811-r_at	SMARCC1
axo07365-f_at	DNAJA1
axo27306-f_at	
axo09244-f_at	BCAR3
axo07825-f_at	ADH7
axo26905-f_at	
axo01786-r_at	BRWD3
axo13570-r_at	RGS10
axo15974-f_at	DUOX1
axo27401-f_at	
axo10444-f_at	SLIT2
axo02833-r_at	DLGAP4
axo09014-f_at	TOP1
axo06182-f_at	MFAP2
axo10653-f_at	MMP14
axo31670-f_at	
axo17748-f_at	SEMA6A
axo13723-f_at	RNF11
axo06656-f_at	PRICKLE1
axo02330-f_at	TJP1
axo31559-f_at	
axo24524-f_at	
axo09391-f_at	TMEFF1
axo05956-f_at	EIF2AK1
axo17046-r_at	DHTKD1
axo16834-f_at	C20orf29
axo05828-f_at	LTBP3
axo18771-f_at	DSC2
axo13778-f_at	TNFRSF21
axo12320-f_at	FGL2
axo00243-r_at	SNAP47
axo24603-f_at	
axo07886-f_at	GOLGA4
axo08677-f_at	REV3L
axo04894-r_at	ACCN1
axo28323-f_at	
axo29705-f_at	
axo08718-f_at	S100A10
axo13728-f_at	GPR160
axo18011-f_at	TMSB4X
axo25142-f_at	
axo25206-f_at	
axo17714-f_at	UBR4
axo07790-r_at	F13B
axo27128-f_at	
axo05681-f_at	SULF1
axo18782-r_at	TAF9
axo12337-r_at	TCERG1
axo13366-f_at	ALG6
axo07606-f_at	CDO1
axo28788-f_at	
axo20241-f_at	SEC23B
axo31610-f_at	
axo11785-f_at	NNMT
axo13266-f_at	STK39
axo00028-f_at	COL4A5
axo29829-f_at	
axo03268-f_at	KRT12
axo13616-f_at	C11orf58
axo29490-f_at	
axo01509-f_at	C8orf38
axo01818-f_at	BEND2
axo19026-r_at	PRR5
axo02163-f_at	RNF149
axo08791-r_at	SLC16A1
axo09178-f_at	SCG2
axo27711-f_at	
axo16310-r_at	C9orf6
axo11615-f_at	MANF
axo07751-r_at	EDNRA
axo19553-f_at	EPPK1
axo15216-f_at	SH3YL1
axo15035-r_at	COBRA1
axo17251-f_at	AKTIP
axo01351-f_at	FAM110B
axo10481-r_at	CYP7B1
axo24883-f_at	
axo02095-f_at	CCDC117
axo25950-f_at	
axo29076-f_at	
axo04563-f_at	OAT
axo11424-f_at	M6PRBP1
axo27168-f_at	
axo10923-f_at	FAT1
axo08716-f_at	SORT1
axo17341-f_at	
axo19876-f_at	EIF1AD
axo30883-f_at	
axo09176-f_at	CHIT1
axo19635-f_at	FZD8
axo12732-f_at	SMAD1
axo15982-f_at	AZI1
axo27826-f_at	
axo16185-r_at	BIVM
axo18832-f_at	TNFAIP8L2
axo14857-r_at	FABP2
axo03513-f_at	GTF2H5
axo28579-f_at	
axo13452-f_at	METTL7A
axo06717-r_at	SKIL
axo09785-f_at	FKBP1B
axo14488-f_at	PPRC1
axo27337-f_at	
axo15421-r_at	IFT52
axo27542-f_at	
axo27551-f_at	
axo12044-r_at	TM9SF1
axo20128-f_at	SH3KBP1
axo01890-f_at	JAG1
axo28519-f_at	
axo00783-r_at	PWWP2B
axo09530-f_at	LTA4H
axo09722-f_at	ANXA2
axo01385-f_at	GPRC6A
axo23252-r_at	
axo09194-f_at	HMGA2
axo17387-f_at	PMEPA1
axo01807-f_at	AKR1A1
axo10962-f_at	GPT
axo19386-f_at	SERPINB1
axo05932-f_at	PTPN12
axo30950-f_at	
axo01052-f_at	SESN3
axo08759-r_at	SFRP4
axo13782-r_at	PDCD4
axo08181-f_at	MMP3
axo04457-f_at	TOP2B
axo26183-f_at	
axo09497-r_at	MBTPS1
axo03170-f_at	PRICKLE2
axo10894-f_at	EGFR
axo12175-f_at	TFPI2
axo02099-f_at	SLC38A9
axo26191-f_at	
axo04512-f_at	RNF214
axo03342-f_at	LGALS8
axo29171-f_at	
axo19483-f_at	TMEM49
axo18904-f_at	MAK10
axo05760-r_at	CTSK
axo15760-r_at	ANKFY1
axo15467-r_at	LGMN
axo18610-r_at	TMEM135
axo15402-f_at	MED23
axo27841-f_at	
axo27222-f_at	
axo05685-f_at	PSIP1
axo11828-f_at	PHKG1
axo24958-f_at	
axo15544-f_at	HSPB11
axo25048-f_at	
axo16974-r_at	LRRC59
axo28726-f_at	
axo13215-r_at	SEC22A
axo10387-f_at	ARHGEF2
axo16012-f_at	LEPROT
axo13507-f_at	SMARCAL1
axo14672-f_at	ACSBG1
axo29253-f_at	
axo06307-r_at	OTUD5
axo20743-f_at	FABP3
axo18928-r_at	PRKRIP1
axo15271-r_at	CD207
axo16307-f_s_at	RNF125
axo09425-f_at	RNASET2
axo02394-f_at	MIDN
axo13449-f_at	OSTM1
axo23879-f_at	
axo07530-f_at	BNC1
axo27335-f_at	
axo25982-f_at	
axo24581-f_at	
axo12693-f_at	TFDP1
axo06895-r_at	ZNF414
axo27091-f_at	
axo15463-r_at	DERL2
axo18087-r_at	MYL7
axo12522-f_at	STON1
axo27296-f_at	
axo19696-f_at	FUCA2
axo15102-f_at	MOXD1
axo16996-f_at	MARK1
axo03196-f_at	PTHLH
axo17287-f_at	IRGC
axo17264-f_at	MOSPD1
axo01796-r_at	MAMDC2
axo12850-f_at	GABARAPL2
axo00388-f_at	ACY3
axo00857-f_at	WDR45
axo04956-r_at	HTATIP2
axo05197-r_at	DTX2
axo12211-f_at	RRAGA
axo19431-r_at	FAM117A
axo04909-r_at	GPR34
axo07785-r_at	EYA3
axo08179-f_at	MMP3
axo11448-f_at	AKAP8
axo14998-f_at	MXRA5
axo06563-r_at	NOX4
axo11092-f_at	SMC3
axo26046-f_at	
axo24660-f_at	
axo00770-f_at	CTHRC1
axo07323-f_at	B4GALT1
axo23084-f_at	
axo16944-r_at	TEX2
axo20688-f_at	HSP90B1
axo08192-f_at	MPP1
axo24017-f_at	
axo07738-f_at	DSG2
axo11014-r_at	MYCN
axo19652-f_at	SYT16
axo09732-r_at	BNIP3
axo18388-f_at	MLST8
axo04606-f_at	ITGA6
axo12263-f_at	KDM5B
axo24045-r_at	
axo27762-f_at	
axo20174-r_at	SERAC1
axo26092-f_at	
axo09520-r_at	TNFSF12
axo14272-r_at	KIAA1012
axo29223-f_at	
axo17022-f_at	ZC4H2
axo04928-f_at	CTNNB1
axo16302-f_at	MARCH5
axo10697-f_at	SERPINB10
axo20140-r_at	CIRH1A
axo12535-r_at	CALM1
axo24579-f_at	
axo29995-f_at	
axo20048-f_at	PTP4A3
axo13227-f_at	STEAP1
axo19414-r_at	HM13
axo13355-f_at	C18orf8
axo15163-f_at	C1orf77
axo27567-f_at	
axo06810-r_at	YPEL3
axo15372-f_at	MTERFD1
axo06279-f_at	PLS3
axo15595-r_at	MRTO4
axo28605-f_at	
axo06424-r_at	CD164
axo02558-f_at	DMAP1
axo13255-r_at	ZNF281
axo12234-f_at	ZFYVE27
axo18608-f_at	VPS33A
axo09110-f_at	VIM
axo13848-f_at	SENP1
axo11245-r_at	TAF7
axo27085-f_at	
axo25250-f_at	
axo19555-f_at	EPPK1
axo12285-f_at	FMO3
axo14617-f_at	WDR43
axo04898-r_at	C5orf44
axo27809-f_at	
axo01022-f_at	RFTN2
axo28441-f_at	
axo13971-f_at	CLINT1
axo20107-f_at	AIFM2
axo19733-r_at	DTNBP1
axo25515-f_at	
axo11743-f_at	TMEM50B
axo04529-f_at	FLJ22167
axo24731-f_at	
axo29151-f_at	
axo07979-r_at	IRF2
axo30281-f_at	
axo15407-r_at	UBE2D4
axo18795-f_at	CDC73
axo31492-f_at	
axo07743-r_at	ADH1B
axo20167-r_at	FBXO48
axo13805-f_at	ZNF544
axo25390-f_at	
axo09389-f_at	CASK
axo07813-f_at	FCN1
axo04649-r_at	KIAA1147
axo08756-f_at	SFRP2
axo08772-f_at	SH3GL2
axo11612-r_at	TUBA1A
axo08942-f_at	TFAM
axo05123-f_at	SPATS2L
axo24577-f_at	
axo14255-f_at	KIAA0831
axo11736-f_at	MAP3K7IP1
axo12009-f_at	CRTAP
axo08083-f_at	LGALS1
axo07194-r_at	DPYSL2
axo27654-f_at	
axo19354-f_at	KLHL15
axo08744-f_at	SDC4
axo08099-f_at	LOXL2
axo31195-f_s_at	
axo20168-r_at	FBXO48
axo06904-r_at	AIFM3
axo00349-f_at	SDCBP2
axo07872-f_at	GNAI2
axo18737-f_at	GDPD3
axo00530-f_at	RSPRY1
axo09654-f_at	NPY
axo08059-r_at	LAMB1
axo07005-r_at	BMPR2
axo12456-f_at	STIP1
axo08501-f_at	HTRA1
axo02887-r_at	RNF19A
axo10141-f_at	HSD17B10
axo06446-f_at	LGALS12
axo12230-f_at	GMEB1
axo05532-r_at	ACCS
axo04615-f_at	OCIAD1
axo00392-f_at	CCDC104
axo11193-r_at	LGALS3BP
axo29432-f_at	
axo03404-r_at	STMN1
axo18400-f_at	RFWD2
axo29746-f_at	
axo04567-r_at	CUBN
axo26420-f_at	
axo30078-f_at	
axo19827-r_at	ZNRF1
axo09480-f_at	BECN1
axo28256-f_at	
axo11349-f_at	AKAP9
axo11362-f_at	TRIM28
axo11001-f_at	HSP90AA1
axo09348-f_at	GCM1
axo29400-f_at	
axo07684-f_at	CRYAB
axo06171-r_at	FKBP7
axo28374-f_at	
axo17415-r_at	NIT2
axo12581-f_at	UPK3A
axo05691-f_at	ZNF717
axo07573-f_at	CBR1
axo14434-r_at	KIAA0913
axo22701-f_at	
axo02591-f_at	
axo08442-f_at	PPL
axo17962-r_at	SNTB1
axo10219-r_at	NFKBIE
axo12964-f_at	CD2AP
axo12948-f_at	ANGPTL2
axo04178-f_at	MLLT4
axo06993-f_at	ATR
axo15416-f_at	UTP18
axo20887-f_s_at	HNRNPM
axo03537-r_at	ZNF320
axo24975-f_at	
axo16060-r_at	C12orf29
axo12675-r_at	FSTL1
axo08681-r_at	RFC1
axo12191-f_at	TUSC4
axo30329-f_at	
axo04973-r_at	TMBIM6
axo29450-f_at	
axo24880-f_at	
axo25606-f_at	
axo25601-f_at	
axo12897-f_at	COG2
axo14358-f_at	SPEN
axo07206-r_at	IL1B
axo02414-f_at	ASAH1
axo19787-f_at	ASCC2
axo22371-r_at	
axo13881-f_at	EHD3
axo11340-r_at	PDIA6
axo14772-r_at	C3orf63
axo30022-f_at	
axo09607-f_at	NR3C2
axo09915-r_at	GOSR2
axo12394-f_at	IFRD2
axo10896-f_at	ELK3
axo00663-r_at	C19orf2
axo15701-f_at	SS18L2
axo12012-f_at	STK25
axo16551-f_at	SRBD1
axo10959-r_at	GPR35
axo02339-f_at	CBX7
axo07901-f_at	GRN
axo06608-r_at	FBP1
axo10695-f_at	SERPINB10
axo18888-f_at	ZCCHC6
axo07792-f_at	ACSL1
axo09275-r_at	DHX16
axo17672-r_at	MTA3
axo23082-r_at	
axo00170-r_at	FMNL2
axo01935-f_at	TGIF1
axo08407-f_at	PI4KB
axo30020-f_at	
axo15387-f_at	CUTC
axo08897-f_at	STX5
axo00507-f_at	PPIL3
axo05513-f_at	ARG1
axo29969-f_at	
axo30186-f_at	
axo16905-r_at	TMEM63B
axo17398-f_at	C7orf36
axo10761-f_at	PGLYRP1
axo31303-f_x_at	
axo15880-f_at	RSF1
axo20191-f_at	DISP1
axo03488-f_at	MPEG1
axo07546-f_at	BTG1
axo12616-f_at	SLC35D2
axo07125-f_at	CTSL2
axo04876-f_at	PMM2
axo27732-f_at	
axo08187-f_at	MMP19
axo11319-f_at	TSPAN3
axo02942-f_at	KRIT1
axo26946-f_at	
axo28206-f_at	
axo25907-f_at	
axo18073-r_at	RHOU
axo25148-f_at	
axo09000-r_at	GPR137B
axo27704-f_at	
axo14066-r_at	SPCS2
axo29081-f_at	
axo24913-f_at	
axo14751-f_at	KIAA0802
axo12937-f_at	PGLS
AFFX-ThrX-5_at	
axo00239-f_at	ZNF518B
axo27742-f_at	
axo27860-f_at	
axo03419-r_at	SELS
axo24112-r_at	
axo27691-f_at	
axo24960-f_at	
axo01993-f_at	KCNAB1
axo14405-r_at	MON2
axo24555-f_at	
axo29540-f_at	
axo10115-f_at	GALNT2
axo11009-f_at	SMAD4
axo24748-f_at	
axo02603-r_at	RFC4
axo10016-f_at	CREB1
axo29937-f_at	
axo06341-f_at	SERPINE2
axo15090-f_at	C20orf4
axo00300-f_at	FAM3B
axo27045-f_at	
axo11997-f_at	SLC25A17
axo25940-f_at	
axo23655-f_at	
axo28428-f_at	
axo11691-r_s_at	TUBA1B
axo12875-f_at	NUPL2
axo07747-r_at	E2F4
axo25833-f_at	
axo09003-f_at	GGCX
axo25777-f_at	
axo27293-f_at	
axo28295-f_at	
axo27771-f_at	
axo00180-f_at	HK2
axo19269-f_at	TMEM30B
axo14055-r_at	BCLAF1
axo18150-r_at	TMEM35
axo24605-f_at	
axo19458-f_at	LBH
axo15308-f_at	UMOD
axo08355-f_at	PCTK2
axo25763-f_at	
axo11104-f_at	ACOT8
axo08737-f_at	ATXN2
axo16787-r_at	MCOLN3
axo08849-f_at	SPARC
axo19700-r_at	TM2D1
axo04714-r_at	ODZ3
axo12327-f_at	BRD8
axo03393-f_at	PDLIM7
axo00231-f_at	MYLK
axo06276-f_at	ICA1
axo12126-r_at	TXNIP
axo09897-r_at	MED17
axo08325-r_at	P2RX7
axo20695-f_s_at	VIM
axo15284-f_at	FCN2
axo16261-f_at	C10orf18
axo28293-f_at	
axo13050-f_at	RRAS2
axo12238-r_at	SULT1C4
axo25450-f_at	
axo12401-f_at	MARCO
axo11416-r_at	DDX39
axo02865-r_at	ASNS
axo12451-f_at	ANXA2
axo23760-f_at	
axo17762-f_at	SLC3A2
axo17205-f_at	WDR44
axo13263-f_at	FLRT2
axo07301-r_at	FZD2
axo02319-f_at	C8orf42
axo24217-f_at	
axo01092-f_at	SEPT10
axo24467-f_at	
axo18911-f_at	GAL3ST4
axo19644-f_at	GCOM1
axo02098-f_at	GLUL
axo12271-f_at	PHGDH
axo16689-r_at	HMG20A
axo23903-f_at	
axo13154-r_at	NARF
axo08684-r_at	RFNG
axo31527-f_s_at	
axo07395-f_at	SERPINE1
axo08998-r_at	TSPAN6
axo01100-f_at	
axo27739-f_at	
axo18494-f_at	ACBD3
axo29893-f_at	
axo02660-f_at	AASDH
axo10497-f_at	GSTO1
axo12107-f_at	SC65
axo27244-f_at	
axo09876-r_at	TRIP12
axo05497-f_at	LNX1
axo29338-f_at	
axo02347-f_at	SMOX
axo03439-f_at	EFEMP1
axo17688-f_at	XPO5
axo10898-f_at	EPHA1
axo08368-f_at	SERPINF1
axo22709-f_at	
axo13265-r_at	PDCD6
axo18869-f_at	SFRS14
axo10823-f_at	THOC1
axo30304-f_at	
axo02053-f_at	FAIM
axo24817-f_at	
axo09625-f_at	BUD31
axo11883-f_at	PRPH
axo01126-f_at	PEBP4
axo25524-f_at	
axo19036-r_at	TMEM180
axo17847-r_at	USP28
axo27201-f_at	
axo06323-r_at	RCOR3
axo07491-f_at	ATP12A
axo04922-r_at	CTSA
axo24102-f_at	
axo06502-f_at	ERI2
axo14150-f_at	ZC3H11A
axo09410-f_at	USO1
axo05303-f_at	ACP5
axo24990-f_at	
axo07348-f_at	HCRTR2
axo28362-f_at	
axo28812-f_at	
axo03089-f_at	KIT
axo00792-r_at	HINT3
axo03433-r_at	FBXO38
axo06840-f_at	ROBO1
axo00859-f_at	ZFAND2B
axo10273-f_at	TGFBR1
axo08378-r_at	PFKL
axo27962-f_at	
axo27933-f_at	
axo02994-f_at	
axo17447-f_at	TULP4
axo04504-f_at	SENP7
axo08505-f_at	PRTN3
axo08024-f_at	KCNJ3
axo16984-f_at	DNAJA4
axo28389-f_at	
axo12615-r_at	UPK1A
axo09472-r_at	SLC4A4
axo13054-f_at	HBP1
axo12289-f_at	STARD10
axo28611-f_at	
axo11150-f_at	HNRNPH1
axo01580-f_at	C14orf49
axo06138-f_at	TKT
axo29367-f_at	
axo01421-f_at	OBFC2A
axo03715-r_at	USP9X
axo15702-r_at	DNAJB11
axo18975-f_at	SNIP1
axo01610-r_at	ARID2
axo15452-f_at	MXRA7
axo10381-f_at	COX7A2L
axo18209-f_at	FKBP10
axo05759-f_at	CTSK
axo08393-r_at	SERPINB5
axo19616-f_at	ESPN
axo16134-r_at	C20orf30
axo25360-f_at	
axo19990-f_at	HOPX
axo09733-f_at	BYSL
axo01486-f_at	PQLC3
axo14787-f_at	ARAP2
axo18730-r_at	C20orf7
axo13251-f_at	UCK2
axo09629-f_at	NQO1
axo22754-f_s_at	
axo05296-f_at	FLNA
axo09433-f_at	IMPDH2
axo17421-f_at	CTBP1
axo20331-f_at	PPP1R14A
axo18380-f_at	LEPRE1
axo11922-r_at	TLN1
axo25832-f_at	
axo19748-f_at	PUM1
axo11947-f_at	NPEPPS
axo18142-f_at	SCPEP1
axo08202-f_at	MSI1
axo16114-f_at	FXN
axo06438-f_at	INTS12
axo07131-f_at	CD53
axo08615-r_at	CYP2C8
axo15715-r_at	RHCG
axo01466-f_at	KLHDC7A
axo19005-r_at	C12orf49
axo16829-f_at	TMEM144
axo01157-r_at	FLCN
axo14094-r_at	URB2
axo03564-f_at	NAP5
axo08436-f_at	POLE2
axo05173-f_at	SCNN1B
axo06939-f_at	RFXAP
axo12942-f_at	AP3M1
axo11000-f_at	HSPA5
axo28009-f_at	
axo28252-f_at	
axo20264-r_at	HIAT1
axo16970-f_at	TMEM44
axo09084-f_at	UGDH
axo06390-f_at	APLP2
axo25036-f_at	
axo15896-r_at	KDM3B
axo27692-f_at	
axo10890-f_at	DLX6
axo22089-f_at	
axo15443-r_at	UBE2J1
axo09326-r_at	SLC43A1
axo02320-f_at	P2RX5
axo11428-f_at	SLC35B1
axo18042-f_at	COTL1
axo19911-f_at	HPS3
axo14233-r_at	WDR33
axo01547-f_at	TMEM150A
axo14153-f_at	DDX46
axo25995-f_at	
axo21197-f_s_at	KRT24
axo20840-f_s_at	SEPP1
axo05307-f_at	EZR
axo02395-r_at	CECR1
axo12461-f_at	RAB40B
axo29372-f_at	
axo24714-f_at	
axo19330-f_at	ITIH5
axo07809-r_at	FBN2
axo16423-f_at	FKBP14
axo19661-f_at	TMEM120A
axo00509-f_at	LRPPRC
axo01763-f_at	KANK1
axo07914-f_at	H2AFZ
axo19438-f_at	SLC2A11
axo25942-f_at	
axo02290-f_at	C4orf34
axo27824-f_at	
axo25613-f_at	
axo19334-f_at	B9D2
axo27051-f_at	
axo27284-f_at	
axo18794-r_at	NKAP
axo12445-r_at	CBX1
axo25553-f_at	
axo11779-f_at	NFYB
axo24343-f_at	
axo11386-r_at	RBM5
axo00270-f_at	CRYBA2
axo02360-r_at	ZADH2
axo15370-f_at	ATP6V1H
axo12919-r_at	COMMD3
axo30238-f_at	
axo28561-f_at	
axo08739-f_at	CLEC11A
axo01284-r_at	PDCD4
axo00977-r_at	SLC39A3
axo00345-f_at	PTP4A2
axo13581-r_at	GPNMB
axo05884-f_at	DNMT1
axo26418-f_at	
axo13548-r_at	TMEM208
axo01041-f_at	LETM2
axo11002-f_at	ITGAD
axo30260-f_at	
axo18956-f_at	ALDH18A1
axo01101-f_at	IL20RB
axo29193-f_at	
axo31192-f_at	
axo06967-r_at	CD109
axo15283-f_at	FCN2
axo20022-f_at	DGAT2
axo04533-f_at	NPC1
axo29914-f_at	
axo24325-r_at	
axo07506-r_at	ATP6V1A
axo28864-f_at	
axo07662-r_at	SLC31A1
axo12890-f_at	GNA12
axo16457-f_at	FAM83B
axo10971-f_at	H3F3B
axo04324-r_at	GEMIN8
axo18136-r_at	ENPP5
axo16868-f_at	FAM63A
axo04163-f_at	AIM1L
axo29346-f_at	
axo29570-f_at	
axo00193-r_at	NT5C3L
axo17005-f_at	BATF3
axo15823-f_at	VTA1
axo01274-f_at	SLC25A43
axo06600-f_at	SEC14L1
axo25753-f_at	
axo04825-r_at	C6orf182
axo03989-f_at	
axo12571-r_at	SOS2
axo05935-f_at	SATB1
axo24725-f_at	
axo29720-f_at	
axo13628-f_at	ITGB3BP
axo20067-r_at	USP30
axo17936-r_at	ANK3
axo11980-f_at	IFI30
axo04782-f_at	DSE
axo19556-f_at	EPPK1
axo02762-f_at	UBE2E1
axo14364-r_at	SPEN
axo28672-f_at	
axo28305-f_at	
axo10868-f_at	CAPN1
axo27527-f_at	
axo28877-f_at	
axo05851-f_at	THAP5
axo12913-f_at	TARDBP
axo06036-f_at	IPO11
axo10743-f_at	XBP1
axo15719-f_at	UPB1
axo15907-f_at	ZNF644
axo15413-f_at	KLF13
axo13634-r_at	GCAT
axo11614-r_at	TUBA1A
axo31401-f_at	
axo03105-f_at	ZNF568
axo30144-f_at	
axo00925-f_at	DEPDC7
axo18334-f_at	EPB41L4A
axo25359-f_at	
axo05519-f_at	CSK
axo28476-f_at	
axo18055-f_at	GRHL3
axo25972-f_at	
axo00042-f_at	DOCK7
axo17619-f_at	NMRAL1
